sample_id,layers,patch_source,alpha,context_tokens,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,full_continuation_ce,boot_continuation_ce,full_text,boot_text
0,"12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"12,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"12,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"12,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"12,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",translated,1.0,128,8,1,0,3,0.5,0.5,0.9003846645355225,2.2039918899536133,.00|游戏开始|9821,.00|00|00|00
0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,1.1971471309661865,.00|游戏开始|9821,.00|游戏开始|0|
1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",translated,1.0,128,8,1,0,3,0.5,0.5,0.9003846645355225,2.2039918899536133,.00|游戏开始|9821,.00|00|00|00
1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,1.1971471309661865,.00|游戏开始|9821,.00|游戏开始|0|
