layer,method,slot_mode,slots_per_block,translator,normalize,prior_alpha,block_score_mode,anchor_tokens,budget_ratio,selected_ratio,translated_mse,translated_cosine,selective_oracle_cosine
8,baseline_1slot_linear,mean,1,linear,False,0.0,anchor_count,64,0.5,0.4375,0.007840030550141819,0.6851172810420394,0.9635652452707291
8,multislot_linear,top_tokens,4,linear,False,0.0,anchor_count,64,0.5,0.4375,0.006660938051936682,0.7467983812093735,0.9635652452707291
8,multislot_mlp,top_tokens,4,mlp,False,0.0,anchor_count,64,0.5,0.4375,0.00516642456932459,0.8052228381857276,0.9635652452707291
8,multislot_mlp_norm,top_tokens,4,mlp,True,0.0,anchor_count,64,0.5,0.4375,0.005910550069529563,0.767043249681592,0.9635652452707291
8,multislot_headwise_norm,top_tokens,4,headwise,True,0.0,anchor_count,64,0.5,0.4375,0.004868677009653766,0.8151433793827891,0.9635652452707291
8,multislot_mlp_norm_prior,top_tokens,4,mlp,True,1.0,anchor_count,64,0.5,0.4375,0.006264109382755123,0.7456462467089295,0.9635652452707291
12,baseline_1slot_linear,mean,1,linear,False,0.0,anchor_count,64,0.5,0.4375,0.007804467604728416,0.6330431122332811,0.9591450169682503
12,multislot_linear,top_tokens,4,linear,False,0.0,anchor_count,64,0.5,0.4375,0.0077893264387967065,0.6527261789888144,0.9591450169682503
12,multislot_mlp,top_tokens,4,mlp,False,0.0,anchor_count,64,0.5,0.4375,0.006243286727112718,0.7150258347392082,0.9591450169682503
12,multislot_mlp_norm,top_tokens,4,mlp,True,0.0,anchor_count,64,0.5,0.4375,0.006277940490690526,0.7181866466999054,0.9591450169682503
12,multislot_headwise_norm,top_tokens,4,headwise,True,0.0,anchor_count,64,0.5,0.4375,0.005151454759470653,0.7663935627788305,0.9591450169682503
12,multislot_mlp_norm_prior,top_tokens,4,mlp,True,1.0,anchor_count,64,0.5,0.4375,0.007027712752460502,0.6857878686860204,0.9591450169682503
15,baseline_1slot_linear,mean,1,linear,False,0.0,anchor_count,64,0.5,0.4375,0.01893586153164506,0.6410524444654584,0.9619433917105198
15,multislot_linear,top_tokens,4,linear,False,0.0,anchor_count,64,0.5,0.4375,0.014269844366936013,0.7442347127944231,0.9619433917105198
15,multislot_mlp,top_tokens,4,mlp,False,0.0,anchor_count,64,0.5,0.4375,0.012622182184713893,0.76947405282408,0.9619433917105198
15,multislot_mlp_norm,top_tokens,4,mlp,True,0.0,anchor_count,64,0.5,0.4375,0.01257091217848938,0.7648225091397762,0.9619433917105198
15,multislot_headwise_norm,top_tokens,4,headwise,True,0.0,anchor_count,64,0.5,0.4375,0.0098780867701862,0.8040148923173547,0.9619433917105198
15,multislot_mlp_norm_prior,top_tokens,4,mlp,True,1.0,anchor_count,64,0.5,0.4375,0.012728730522212572,0.773816417902708,0.9619433917105198
