candidate_budget,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
8,qwen_sender,qwen_receiver,0,0,0.7834183772404989,0.8508667747179667,0.43316323558489483,0.0008021363949713608,0.9097509384155273
8,qwen_sender,qwen_receiver,4,4,0.8114894429842631,0.8240336577097574,0.3770210842291514,0.005557476698110501,0.9639792839686075
8,qwen_sender,qwen_receiver,8,8,0.8785076936086019,0.8124106526374817,0.22847527265548706,0.45637172119071084,0.9560375610987345
8,qwen_sender,qwen_receiver,12,12,0.8641687432924906,0.8202805916468302,0.24136066436767578,7.265484253565471,0.9447219967842102
8,qwen_sender,qwen_receiver,15,15,0.8714963992436727,0.8285717964172363,0.23752978444099426,0.9851942459742228,0.9017254908879598
8,qwen_sender,llama32_1b,0,0,0.8114920655886332,0.7607039014498392,0.3770158539215724,0.00021344222962701073,0.8733384410540262
8,qwen_sender,llama32_1b,4,4,0.5912633538246155,0.7544966538747152,0.8174732724825541,0.009929021820425987,0.7251343528429667
8,qwen_sender,llama32_1b,8,8,0.6154113610585531,0.7513244152069092,0.7691772778828939,0.012218430638313293,0.7725649277369181
8,qwen_sender,llama32_1b,12,12,0.6108875771363577,0.7514105836550394,0.7782248655954996,0.013706771346429983,0.7358610232671102
8,qwen_sender,llama32_1b,15,15,0.5617638727029165,0.7394301493962606,0.8764722943305969,0.05119473114609718,0.7995659708976746
8,qwen_receiver,qwen_sender,0,0,0.7824273308118185,0.8511731425921122,0.4351453979810079,0.0007681426941417158,0.9051016767819723
8,qwen_receiver,qwen_sender,4,4,0.7969887057940165,0.8154296875,0.4060226082801819,0.003833047579973936,0.9539330999056498
8,qwen_receiver,qwen_sender,8,8,0.803925613562266,0.8155062794685364,0.38496766487757367,0.2686285724242528,0.9495881994565328
8,qwen_receiver,qwen_sender,12,12,0.8221169908841451,0.8041832447052002,0.34298071761926013,1.7648021578788757,0.9466940760612488
8,qwen_receiver,qwen_sender,15,15,0.8733287453651428,0.8262101809183756,0.25334247450033825,0.10992871224880219,0.9491130908330282
8,qwen_receiver,llama32_1b,0,0,0.8034209609031677,0.7572859128316244,0.3931580384572347,0.00026066365414105047,0.8749133944511414
8,qwen_receiver,llama32_1b,4,4,0.5878848334153494,0.7687429785728455,0.8242303530375162,0.009880244421462217,0.7320831219355265
8,qwen_receiver,llama32_1b,8,8,0.5893625418345133,0.7586135466893514,0.821274975935618,0.013461198347310225,0.7504834334055582
8,qwen_receiver,llama32_1b,12,12,0.5605392356713613,0.7398992776870728,0.8789216081301371,0.016546023699144524,0.697579542795817
8,qwen_receiver,llama32_1b,15,15,0.585806131362915,0.7469330827395121,0.8283876578013102,0.05438029517730077,0.8188251058260599
8,llama32_1b,qwen_sender,0,0,0.7694016496340433,0.7705844044685364,0.4611967206001282,0.0006102844975733509,0.9148229956626892
8,llama32_1b,qwen_sender,4,4,0.763351579507192,0.7674185434977213,0.47329692045847577,0.004662225643793742,0.923588752746582
8,llama32_1b,qwen_sender,8,8,0.8070264458656311,0.768299380938212,0.3822727104028066,0.15040108561515808,0.937474767367045
