candidate_budget,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
8,qwen_sender,qwen_receiver,0,0,0.7834182580312093,0.8508667747179667,0.43316343426704407,0.0008021309622563422,0.9097475012143453
8,qwen_sender,qwen_receiver,4,4,0.8114498257637024,0.8238166371981303,0.3771004279454549,0.005562953495730956,0.9639463226000468
8,qwen_sender,qwen_receiver,8,8,0.8789319197336832,0.8128255208333334,0.22761192917823792,0.4554443048934142,0.9561762809753418
8,qwen_sender,qwen_receiver,12,12,0.8631817897160848,0.8206954598426819,0.24211661020914713,7.4815958340962725,0.9434800545374552
8,qwen_sender,qwen_receiver,15,15,0.8728371262550354,0.828003724416097,0.23483963310718536,0.9681557615598043,0.9023075898488363
8,qwen_sender,llama32_1b,0,0,0.8114899595578512,0.7607581615447998,0.37702008585135144,0.00021346316255706674,0.8733211159706116
8,qwen_sender,llama32_1b,4,4,0.5911063551902771,0.7542987863222758,0.8177872697512308,0.009940055819849173,0.7249826391537985
8,qwen_sender,llama32_1b,8,8,0.6155122319857279,0.7512701749801636,0.7689754962921143,0.012219335573414961,0.7726329366366068
8,qwen_sender,llama32_1b,12,12,0.6108351449171702,0.7518254717191061,0.7783297896385193,0.013702026257912317,0.7355894049008688
8,qwen_sender,llama32_1b,15,15,0.5616701046625773,0.7392003734906515,0.8766597708066305,0.051275273164113365,0.7992919683456421
8,qwen_receiver,qwen_sender,0,0,0.7824278275171915,0.8511731425921122,0.4351443250974019,0.0007681310332069794,0.9051043192545573
8,qwen_receiver,qwen_sender,4,4,0.7969321211179098,0.8154743711153666,0.40613574783007306,0.003833526590218147,0.9539197683334351
8,qwen_receiver,qwen_sender,8,8,0.8040388226509094,0.8153977791468302,0.3847762644290924,0.2677141095822056,0.9495783050855001
8,qwen_receiver,qwen_sender,12,12,0.8213918010393778,0.8038768768310547,0.34439728160699207,1.7599371274312336,0.9469624360402426
8,qwen_receiver,qwen_sender,15,15,0.8720689018567404,0.8256867726643881,0.2558622658252716,0.11053181191285451,0.9485406080881754
8,qwen_receiver,llama32_1b,0,0,0.8034157554308573,0.7574933568636576,0.39316847423712414,0.00026069956584251486,0.8748990893363953
8,qwen_receiver,llama32_1b,4,4,0.5879071056842804,0.7687972187995911,0.8241858084996542,0.00987866303573052,0.7321288386980692
8,qwen_receiver,llama32_1b,8,8,0.5893516143163046,0.7588113943735758,0.8212967912356058,0.01346705916027228,0.7503963907559713
8,qwen_receiver,llama32_1b,12,12,0.5604954858620962,0.7399216095606486,0.8790090481440226,0.0165524963910381,0.6976336439450582
8,qwen_receiver,llama32_1b,15,15,0.5857402980327606,0.7466490467389425,0.8285193840662638,0.05457570652167002,0.818656345208486
8,llama32_1b,qwen_sender,0,0,0.7694010933240255,0.7705844044685364,0.4611977736155192,0.0006102771052004149,0.9148233532905579
8,llama32_1b,qwen_sender,4,4,0.7633694410324097,0.7676802476247152,0.47326116760571796,0.00465689863388737,0.9235098759333292
8,llama32_1b,qwen_sender,8,8,0.8067010243733724,0.7684525648752848,0.3829234441121419,0.1618355562289556,0.9364487528800964
8,llama32_1b,qwen_sender,12,12,0.8191377917925516,0.7690078417460123,0.34112759431203205,2.9336465994517007,0.9199127753575643
8,llama32_1b,qwen_sender,15,15,0.7308595577875773,0.7438087066014608,0.5382809042930603,0.2828285147746404,0.8705693682034811
8,llama32_1b,qwen_receiver,0,0,0.7685380379358927,0.7642271717389425,0.46292396386464435,0.0006224298655676345,0.923432449499766
8,llama32_1b,qwen_receiver,4,4,0.7630159258842468,0.7638314565022787,0.47396809856096905,0.007581201537201802,0.9279899398485819
8,llama32_1b,qwen_receiver,8,8,0.797810951868693,0.7684780955314636,0.3818158706029256,0.6919096906979879,0.9223109086354574
8,llama32_1b,qwen_receiver,12,12,0.7956074674924215,0.7642718553543091,0.3592936744292577,11.881091435750326,0.9043793876965841
8,llama32_1b,qwen_receiver,15,15,0.7663563092549642,0.7548572818438212,0.41132739186286926,1.7906079292297363,0.8329587976137797
16,qwen_sender,qwen_receiver,0,0,0.9746913909912109,0.9790326356887817,0.05061717967813214,4.857910365293113e-05,0.9938709735870361
16,qwen_sender,qwen_receiver,4,4,0.976501484711965,0.975949764251709,0.04699706782897314,0.00035619897971628234,0.9961395064989725
16,qwen_sender,qwen_receiver,8,8,0.9897786974906921,0.9807112812995911,0.020442655853306253,0.0008164807234910162,0.998846193154653
16,qwen_sender,qwen_receiver,12,12,0.9900066455205282,0.9814772208531698,0.01998668412367503,0.012287333491258323,0.9957506457964579
16,qwen_sender,qwen_receiver,15,15,0.9642133911450704,0.9734285871187845,0.06583748509486516,0.2870324918379386,0.9696102341016134
16,qwen_sender,llama32_1b,0,0,0.9836114446322123,0.9722669124603271,0.0327770629276832,4.687417951269405e-06,0.9907182256380717
16,qwen_sender,llama32_1b,4,4,0.9366481304168701,0.9668415586153666,0.1267037719177703,0.0013732563470512105,0.9583090941111246
16,qwen_sender,llama32_1b,8,8,0.9412379860877991,0.9627469976743063,0.11752398622532685,0.0013058392505627126,0.967739979426066
16,qwen_sender,llama32_1b,12,12,0.9530433019002279,0.9676074981689453,0.0939134475775063,0.0011764788808553324,0.9708583752314249
16,qwen_sender,llama32_1b,15,15,0.9160288373629252,0.9595300952593485,0.1679423445214828,0.00681170733878389,0.9656727313995361
16,qwen_receiver,qwen_sender,0,0,0.974941353003184,0.9786560336748759,0.05011736244584123,3.844276958867946e-05,0.9941655198733012
16,qwen_receiver,qwen_sender,4,4,0.9755869110425314,0.9771050413449606,0.0488262145469586,0.00020104563251758614,0.9964213569959005
16,qwen_receiver,qwen_sender,8,8,0.9802735845247904,0.9778645833333334,0.039452857027451195,0.00263187054588343,0.9982460737228394
16,qwen_receiver,qwen_sender,12,12,0.9917669494946798,0.9810112913449606,0.016466069578503568,0.0023537156812381,0.9987131754557291
16,qwen_receiver,qwen_sender,15,15,0.9794018864631653,0.9783369104067484,0.04119630313167969,0.01124810652496914,0.9918959140777588
16,qwen_receiver,llama32_1b,0,0,0.982997198899587,0.9709648291269938,0.034005600648621716,4.888744134253405e-06,0.989761749903361
16,qwen_receiver,llama32_1b,4,4,0.9292628169059753,0.9681947032610575,0.14147444472958645,0.0014377351884225693,0.9567166765530905
16,qwen_receiver,llama32_1b,8,8,0.9273844162623087,0.9626065691312155,0.14523124198118845,0.0018637266863758366,0.958962082862854
16,qwen_receiver,llama32_1b,12,12,0.943412701288859,0.9655522505442301,0.11317458096891642,0.0015214114343204226,0.9649949669837952
16,qwen_receiver,llama32_1b,15,15,0.9261929591496786,0.9622555573781332,0.1476140764231483,0.006089536502258852,0.9695502718289694
16,llama32_1b,qwen_sender,0,0,0.9736825029055277,0.9704350630442301,0.05263495103766521,2.9536938048598433e-05,0.9942638675371805
16,llama32_1b,qwen_sender,4,4,0.9714012344678243,0.966790497303009,0.057197568782915674,0.000333273890040194,0.9925932685534159
16,llama32_1b,qwen_sender,8,8,0.9776557485262553,0.9650990764300028,0.04468849363426367,0.002866427937988192,0.995098610719045
16,llama32_1b,qwen_sender,12,12,0.9863317012786865,0.976926326751709,0.027336663954580825,0.006290343818060744,0.9987382690111796
16,llama32_1b,qwen_sender,15,15,0.9575573007265726,0.9680925806363424,0.08488541375845671,0.02632628264836967,0.9828446706136068
16,llama32_1b,qwen_receiver,0,0,0.9734596014022827,0.9702627261479696,0.053080899796138205,3.3867496692134104e-05,0.9949649572372437
16,llama32_1b,qwen_receiver,4,4,0.9713198741277059,0.9696116844813029,0.057360196175674595,0.0005831447439656282,0.9933241605758667
16,llama32_1b,qwen_receiver,8,8,0.9576643506685892,0.9716350038846334,0.07912414552023013,0.23800128997148326,0.9848107298215231
16,llama32_1b,qwen_receiver,12,12,0.9678823947906494,0.9760710199673971,0.06250009732320905,0.34775952288570505,0.9934835632642111
16,llama32_1b,qwen_receiver,15,15,0.9510513742764791,0.9679138660430908,0.0867500704092284,0.39591597331066924,0.9635104139645895
32,qwen_sender,qwen_receiver,0,0,1.0,1.0,2.2751776758885473e-08,1.699917811324794e-17,1.0
32,qwen_sender,qwen_receiver,4,4,1.0,1.0,2.3402511336219806e-08,2.2000535986962678e-16,1.0
32,qwen_sender,qwen_receiver,8,8,1.0,1.0,2.745104114391476e-08,8.844693188929617e-15,1.0
32,qwen_sender,qwen_receiver,12,12,1.0,1.0,2.9773995417296344e-08,8.0271289696612e-14,1.0
32,qwen_sender,qwen_receiver,15,15,1.0,1.0,2.4836706913333728e-08,1.7333387465146358e-14,1.0
32,qwen_sender,llama32_1b,0,0,1.0,1.0,4.2075022577137133e-08,2.443433351111894e-18,1.0
32,qwen_sender,llama32_1b,4,4,1.0,1.0,3.8899652092065175e-08,1.9380658669475194e-17,1.0
32,qwen_sender,llama32_1b,8,8,1.0,1.0,3.8247699526057964e-08,4.223014335399084e-17,1.0
32,qwen_sender,llama32_1b,12,12,1.0,1.0,4.088613773471176e-08,2.400358803039182e-17,1.0
32,qwen_sender,llama32_1b,15,15,1.0,1.0,3.553267902134394e-08,7.783932794431534e-17,1.0
32,qwen_receiver,qwen_sender,0,0,1.0,1.0,2.3941230035499455e-08,1.5359573238816092e-17,1.0
32,qwen_receiver,qwen_sender,4,4,1.0,1.0,2.1390815637308453e-08,1.095978070092857e-16,1.0
32,qwen_receiver,qwen_sender,8,8,1.0,1.0,2.7450636134555378e-08,8.497325259604945e-15,1.0
32,qwen_receiver,qwen_sender,12,12,1.0,1.0,3.074544944562755e-08,4.5944724984895345e-14,1.0
32,qwen_receiver,qwen_sender,15,15,1.0,1.0,3.821579497298444e-08,5.843739877758041e-15,1.0
32,qwen_receiver,llama32_1b,0,0,1.0,1.0,4.2075022577137133e-08,2.443433351111894e-18,1.0
32,qwen_receiver,llama32_1b,4,4,1.0,1.0,3.8899652092065175e-08,1.9380658669475194e-17,1.0
32,qwen_receiver,llama32_1b,8,8,1.0,1.0,3.8247699526057964e-08,4.223014335399084e-17,1.0
