candidate_budget,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
8,qwen_sender,qwen_receiver,0,0,0.08844990283250809,0.34320068359375,1.823100209236145,0.01429438404738903,0.5555534958839417
8,qwen_sender,qwen_receiver,8,8,0.5020214319229126,0.246337890625,0.9959571361541748,0.4362998306751251,0.8036960363388062
8,qwen_sender,llama32_1b,0,0,0.07035716623067856,0.06333160400390625,1.8592856526374817,0.0006446068291552365,0.7299679219722748
8,qwen_sender,llama32_1b,8,8,0.06621992588043213,0.09423446655273438,1.8675601482391357,0.02432859782129526,0.5928172469139099
8,qwen_receiver,qwen_sender,0,0,0.08662450313568115,0.2857666015625,1.8267509937286377,0.012886423617601395,0.5773333311080933
8,qwen_receiver,qwen_sender,8,8,0.32359516620635986,0.291168212890625,1.3528096675872803,0.43427592515945435,0.8233221173286438
8,qwen_receiver,llama32_1b,0,0,0.07159852609038353,0.05875396728515625,1.8568029403686523,0.000851526710903272,0.7228741943836212
8,qwen_receiver,llama32_1b,8,8,0.05726185068488121,0.07880401611328125,1.8854762315750122,0.024172186851501465,0.6147185266017914
8,llama32_1b,qwen_sender,0,0,0.08000754565000534,0.11960601806640625,1.8399848341941833,0.0018726575071923435,0.8518832325935364
8,llama32_1b,qwen_sender,8,8,0.060474587604403496,0.06935882568359375,1.7886539697647095,4.646772861480713,0.5358920693397522
8,llama32_1b,qwen_receiver,0,0,0.0793401449918747,0.080078125,1.8413197994232178,0.001980292610824108,0.8617877066135406
8,llama32_1b,qwen_receiver,8,8,0.07134513929486275,0.0692596435546875,1.575851321220398,12.765911102294922,0.4051165133714676
32,qwen_sender,qwen_receiver,0,0,0.25240540504455566,0.6458740234375,1.4951891899108887,0.006390300579369068,0.7237477898597717
32,qwen_sender,qwen_receiver,8,8,0.621231198310852,0.4477081298828125,0.7575376033782959,0.11290198564529419,0.9197350740432739
32,qwen_sender,llama32_1b,0,0,0.2191561460494995,0.2119903564453125,1.561687707901001,0.00019870412506861612,0.9202701449394226
32,qwen_sender,llama32_1b,8,8,0.22964481264352798,0.2546195983886719,1.54071044921875,0.011561754159629345,0.7624794542789459
32,qwen_receiver,qwen_sender,0,0,0.24783267080783844,0.606292724609375,1.5043346881866455,0.006852774880826473,0.7029685378074646
32,qwen_receiver,qwen_sender,8,8,0.4331682324409485,0.5192718505859375,1.133663535118103,0.11949000507593155,0.9074304103851318
32,qwen_receiver,llama32_1b,0,0,0.21983324736356735,0.206451416015625,1.560333490371704,0.00021409886539913714,0.9211905300617218
32,qwen_receiver,llama32_1b,8,8,0.18787980824708939,0.23438262939453125,1.6242403388023376,0.012599169742316008,0.7811776399612427
32,llama32_1b,qwen_sender,0,0,0.2361651510000229,0.3122711181640625,1.5276696681976318,0.0004028403200209141,0.9640035033226013
32,llama32_1b,qwen_sender,8,8,0.1806761473417282,0.186248779296875,1.5797756910324097,3.437508225440979,0.7100048661231995
32,llama32_1b,qwen_receiver,0,0,0.23540030419826508,0.2635345458984375,1.5291994214057922,0.00043735613871831447,0.9639195501804352
32,llama32_1b,qwen_receiver,8,8,0.2291409745812416,0.19484710693359375,1.3573212623596191,9.306490898132324,0.6225810050964355
