candidate_budget,alignment,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
16,position,qwen_sender,qwen_receiver,0,0,0.25158968567848206,0.581207275390625,1.4968206882476807,0.007677334360778332,0.7040353417396545
16,position,qwen_sender,qwen_receiver,8,8,0.6235378384590149,0.375946044921875,0.7529243230819702,0.1331096738576889,0.8963906168937683
16,position,qwen_sender,llama32_1b,0,0,0.21416735649108887,0.213897705078125,1.5716652870178223,0.0003381989081390202,0.8622700572013855
16,position,qwen_sender,llama32_1b,8,8,0.20143018662929535,0.2601776123046875,1.597139596939087,0.015510773286223412,0.7040376663208008
16,position,qwen_receiver,qwen_sender,0,0,0.24708203971385956,0.576263427734375,1.505836009979248,0.007741357199847698,0.6903918981552124
16,position,qwen_receiver,qwen_sender,8,8,0.46215108036994934,0.4771728515625,1.0756977796554565,0.13511186838150024,0.9068149328231812
16,position,qwen_receiver,llama32_1b,0,0,0.21820084750652313,0.2154998779296875,1.563598394393921,0.0004518506466411054,0.8311200141906738
16,position,qwen_receiver,llama32_1b,8,8,0.17607149481773376,0.2369842529296875,1.6478569507598877,0.01646694354712963,0.7239932417869568
16,position,llama32_1b,qwen_sender,0,0,0.23585082590579987,0.290008544921875,1.5282983779907227,0.0008333803853020072,0.9361617565155029
16,position,llama32_1b,qwen_sender,8,8,0.1701083481311798,0.204833984375,1.5697250366210938,4.1988420486450195,0.667534589767456
16,position,llama32_1b,qwen_receiver,0,0,0.23429864645004272,0.25042724609375,1.5314027070999146,0.000902513274922967,0.9366971850395203
16,position,llama32_1b,qwen_receiver,8,8,0.23918290436267853,0.215545654296875,1.2737703323364258,10.48401927947998,0.5527023077011108
64,position,qwen_sender,qwen_receiver,0,0,0.6182153820991516,0.849761962890625,0.7635692954063416,0.002198178553953767,0.9000346064567566
64,position,qwen_sender,qwen_receiver,8,8,0.8282163143157959,0.774932861328125,0.3435673117637634,0.014699846506118774,0.9819738864898682
64,position,qwen_sender,llama32_1b,0,0,0.5743176937103271,0.5880279541015625,0.8513647317886353,0.00010034221486421302,0.9733806848526001
64,position,qwen_sender,llama32_1b,8,8,0.5751516222953796,0.6187286376953125,0.8496966361999512,0.005041763186454773,0.9083810448646545
64,position,qwen_receiver,qwen_sender,0,0,0.6113946437835693,0.81756591796875,0.7772107124328613,0.002198203466832638,0.8895875811576843
64,position,qwen_receiver,qwen_sender,8,8,0.6855400800704956,0.782196044921875,0.6289198398590088,0.01990521512925625,0.9688531160354614
64,position,qwen_receiver,llama32_1b,0,0,0.5718940496444702,0.57073974609375,0.8562119007110596,0.00011516230006236583,0.969113826751709
64,position,qwen_receiver,llama32_1b,8,8,0.4942011833190918,0.5623321533203125,1.0115976333618164,0.006785986479371786,0.8883273601531982
64,position,llama32_1b,qwen_sender,0,0,0.5966699719429016,0.660797119140625,0.806659996509552,0.00019381160382181406,0.9819974303245544
64,position,llama32_1b,qwen_sender,8,8,0.47104355692863464,0.49981689453125,1.011307954788208,2.6837573051452637,0.845234751701355
64,position,llama32_1b,qwen_receiver,0,0,0.5957059860229492,0.601715087890625,0.8085879683494568,0.00018957690917886794,0.9842062592506409
64,position,llama32_1b,qwen_receiver,8,8,0.6097997426986694,0.526947021484375,0.6927043199539185,3.8548495769500732,0.8394293189048767
