candidate_budget,alignment,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
8,span,qwen_sender,qwen_receiver,0,0,0.08844990283250809,0.34320068359375,1.823100209236145,0.01429438404738903,0.5555534958839417
8,span,qwen_sender,qwen_receiver,4,4,0.12610690295696259,0.2787017822265625,1.7477861642837524,0.07484341412782669,0.6967061758041382
8,span,qwen_sender,qwen_receiver,8,8,0.5020214319229126,0.246337890625,0.9959571361541748,0.4362998306751251,0.8036960363388062
8,span,qwen_sender,qwen_receiver,12,12,0.6756114363670349,0.2859649658203125,0.6482983231544495,2.584751844406128,0.8095207214355469
8,span,qwen_sender,qwen_receiver,15,15,0.3585965037345886,0.26580810546875,1.1545023918151855,5.540063858032227,0.5594316124916077
8,span,qwen_sender,llama32_1b,0,0,0.0334731750190258,0.04674530029296875,1.790475606918335,0.0047649628249928355,0.2000822126865387
8,span,qwen_sender,llama32_1b,4,4,0.0428052619099617,0.07508087158203125,1.7718112468719482,0.023197731003165245,0.428245484828949
8,span,qwen_sender,llama32_1b,8,8,0.03960006684064865,0.07059478759765625,1.7782108783721924,0.02857099217362702,0.4144987463951111
8,span,qwen_sender,llama32_1b,12,12,0.04563778266310692,0.086029052734375,1.7661463022232056,0.030341952806338668,0.47885340452194214
8,span,qwen_sender,llama32_1b,15,15,0.04582089185714722,0.08148956298828125,1.7657802104949951,0.11421645618975163,0.447091281414032
8,span,qwen_receiver,qwen_sender,0,0,0.08662450313568115,0.2857666015625,1.8267509937286377,0.012886423617601395,0.5773333311080933
8,span,qwen_receiver,qwen_sender,4,4,0.0986214205622673,0.2067413330078125,1.8027572631835938,0.0573277622461319,0.6210213303565979
8,span,qwen_receiver,qwen_sender,8,8,0.32359516620635986,0.291168212890625,1.3528096675872803,0.43427592515945435,0.8233221173286438
8,span,qwen_receiver,qwen_sender,12,12,0.381388783454895,0.2339324951171875,1.2175863981246948,4.369402885437012,0.8202149868011475
8,span,qwen_receiver,qwen_sender,15,15,0.2415035516023636,0.211090087890625,1.5169929265975952,1.0074172019958496,0.6435790061950684
8,span,qwen_receiver,llama32_1b,0,0,0.03835374116897583,0.06761932373046875,1.7807143926620483,0.004734075511805713,0.13194236159324646
8,span,qwen_receiver,llama32_1b,4,4,0.049063365906476974,0.0879364013671875,1.7592952251434326,0.022311362205073237,0.42424124479293823
8,span,qwen_receiver,llama32_1b,8,8,0.04864371567964554,0.09012603759765625,1.7601344585418701,0.029433102114126086,0.42895758152008057
8,span,qwen_receiver,llama32_1b,12,12,0.039257146418094635,0.0721893310546875,1.7789075374603271,0.036888651084154844,0.4562682509422302
8,span,qwen_receiver,llama32_1b,15,15,0.042042843997478485,0.07474517822265625,1.7733361721038818,0.11137925554066896,0.47389793395996094
8,span,llama32_1b,qwen_sender,0,0,0.07896360754966736,0.1106719970703125,1.8420727252960205,0.012857839465141296,0.5948655009269714
8,span,llama32_1b,qwen_sender,4,4,0.07721629738807678,0.05804443359375,1.8455674648284912,0.03509502112865448,0.6906754970550537
8,span,llama32_1b,qwen_sender,8,8,0.07418741285800934,0.07806396484375,1.756932020187378,4.81478214263916,0.4332144260406494
8,span,llama32_1b,qwen_sender,12,12,0.08384231477975845,0.099273681640625,1.5525166988372803,30.964550018310547,0.357128381729126
8,span,llama32_1b,qwen_sender,15,15,0.08159729093313217,0.0874176025390625,1.8300414085388184,1.2879804372787476,0.5031602382659912
8,span,llama32_1b,qwen_receiver,0,0,0.07887551933526993,0.0624237060546875,1.8422489166259766,0.014004846103489399,0.5657265186309814
8,span,llama32_1b,qwen_receiver,4,4,0.07979660481214523,0.0722808837890625,1.840406894683838,0.05928991734981537,0.6521705985069275
8,span,llama32_1b,qwen_receiver,8,8,0.07461318373680115,0.08087158203125,1.5638009309768677,12.891252517700195,0.3582456707954407
8,span,llama32_1b,qwen_receiver,12,12,0.08388862013816833,0.107208251953125,1.3014552593231201,105.12100219726562,0.31227317452430725
8,span,llama32_1b,qwen_receiver,15,15,0.10818975418806076,0.099029541015625,1.192474365234375,7.099413871765137,0.3090861439704895
16,span,qwen_sender,qwen_receiver,0,0,0.15171973407268524,0.506256103515625,1.6965605020523071,0.011334475129842758,0.6164352893829346
16,span,qwen_sender,qwen_receiver,4,4,0.20456327497959137,0.4072418212890625,1.5908734798431396,0.0545656755566597,0.7489945292472839
16,span,qwen_sender,qwen_receiver,8,8,0.5567622184753418,0.316009521484375,0.8864755630493164,0.22966733574867249,0.8655565977096558
16,span,qwen_sender,qwen_receiver,12,12,0.7148725390434265,0.36383056640625,0.570254921913147,0.9510049819946289,0.858951985836029
16,span,qwen_sender,qwen_receiver,15,15,0.4618329703807831,0.38421630859375,0.9991468191146851,4.4138689041137695,0.642210841178894
16,span,qwen_sender,llama32_1b,0,0,0.06447967886924744,0.08347320556640625,1.7284624576568604,0.0035461577062960714,0.2673034965991974
16,span,qwen_sender,llama32_1b,4,4,0.07695463299751282,0.12149810791015625,1.7035126686096191,0.018753936979919672,0.49083617329597473
16,span,qwen_sender,llama32_1b,8,8,0.07678629457950592,0.13108062744140625,1.7038493156433105,0.023176338989287615,0.4830515682697296
16,span,qwen_sender,llama32_1b,12,12,0.08530321717262268,0.16719818115234375,1.6868155002593994,0.023977050790563226,0.5558754205703735
16,span,qwen_sender,llama32_1b,15,15,0.07722485810518265,0.126251220703125,1.702972173690796,0.08949746750295162,0.5261646509170532
16,span,qwen_receiver,qwen_sender,0,0,0.14895333349704742,0.4564208984375,1.7020933628082275,0.010853137820959091,0.6214848756790161
16,span,qwen_receiver,qwen_sender,4,4,0.16585363447666168,0.33709716796875,1.668292760848999,0.04141698032617569,0.6796193718910217
16,span,qwen_receiver,qwen_sender,8,8,0.3695361018180847,0.4096527099609375,1.260927677154541,0.2325548231601715,0.8667901158332825
16,span,qwen_receiver,qwen_sender,12,12,0.4229857325553894,0.3154449462890625,1.138291358947754,3.5677428245544434,0.877013087272644
16,span,qwen_receiver,qwen_sender,15,15,0.352053701877594,0.3311309814453125,1.295892596244812,0.7768192291259766,0.7345616817474365
16,span,qwen_receiver,llama32_1b,0,0,0.06889355927705765,0.1072235107421875,1.719634771347046,0.0037684111448470503,0.17950470745563507
16,span,qwen_receiver,llama32_1b,4,4,0.08753575384616852,0.14472198486328125,1.6823503971099854,0.017606045119464397,0.4939504861831665
