sender,receiver,layer,mode,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
qwen_sender,llama32_1b,0,attn_topk,0.21690970659255981,0.3453216552734375,0.0013641668483614922,0.43385934829711914,0.0013690391788259149,0.5241116881370544
qwen_sender,llama32_1b,0,block_saliency,0.1759021282196045,0.200927734375,0.000373529561329633,0.7118610739707947,0.00041868299013003707,0.8564969301223755
qwen_sender,llama32_1b,0,global_important,0.2023371458053589,0.40716552734375,0.0003618256887421012,0.8008996844291687,0.0003666980192065239,0.8911519646644592
qwen_sender,llama32_1b,0,k_saliency,0.08565318584442139,0.0847930908203125,0.002532240003347397,0.30694591999053955,0.0025486131198704243,0.3993094265460968
qwen_sender,llama32_1b,0,union,0.383983314037323,0.5689544677734375,0.00039768480928614736,0.7722510099411011,0.0004025571688544005,0.8625032901763916
qwen_sender,llama32_1b,8,attn_topk,0.2221394032239914,0.3580322265625,0.016436826437711716,0.623222291469574,0.015839964151382446,0.7052836418151855
qwen_sender,llama32_1b,8,block_saliency,0.23844200372695923,0.36114501953125,0.013269306160509586,0.6765156388282776,0.012755361385643482,0.7606371641159058
qwen_sender,llama32_1b,8,global_important,0.20830008387565613,0.338623046875,0.016330011188983917,0.5750101804733276,0.015733148902654648,0.6570714712142944
qwen_sender,llama32_1b,8,k_saliency,0.13084445893764496,0.212982177734375,0.01929764822125435,0.5651893615722656,0.018872935324907303,0.6511636972427368
qwen_sender,llama32_1b,8,union,0.3842964470386505,0.5641326904296875,0.011721272021532059,0.7159679532051086,0.01112440787255764,0.7980292439460754
