layers,method,alpha,full_ce,patched_ce,ce_delta,logit_kl,top1_match
"12,15",selective_oracle,1.0,1.6590137854218483,1.7170869559049606,0.058073170483112335,0.06707969913259149,0.8834393247961998
"12,15",selective_oracle,0.75,1.6590137854218483,1.6838114634156227,0.024797677993774414,0.03234164754394442,0.915973573923111
"12,15",selective_oracle,0.5,1.6590137854218483,1.6662127822637558,0.007198996841907501,0.013211268465965986,0.9433708339929581
"12,15",selective_oracle,0.25,1.6590137854218483,1.6586467623710632,-0.0003670230507850647,0.003232633913285099,0.9772504940629005
"12,15",multislot_headwise_norm,1.0,1.6590137854218483,1.7329408526420593,0.07392706722021103,0.09669375652447343,0.8610567525029182
"12,15",multislot_headwise_norm,0.75,1.6590137854218483,1.6846385523676872,0.025624766945838928,0.044171074870973825,0.8944471627473831
"12,15",multislot_headwise_norm,0.5,1.6590137854218483,1.6618278548121452,0.002814069390296936,0.01681476761586964,0.917808223515749
"12,15",multislot_headwise_norm,0.25,1.6590137854218483,1.6551734507083893,-0.003840334713459015,0.003925848039216362,0.9689334593713284
"8,12,15",selective_oracle,1.0,1.6590137854218483,1.7719709947705269,0.11295720934867859,0.14861642569303513,0.8292563557624817
"8,12,15",selective_oracle,0.75,1.6590137854218483,1.7011979520320892,0.042184166610240936,0.06372831552289426,0.8812377564609051
"8,12,15",selective_oracle,0.5,1.6590137854218483,1.6701667830348015,0.011152997612953186,0.023000582354143262,0.9229452013969421
"8,12,15",selective_oracle,0.25,1.6590137854218483,1.6589399948716164,-7.37905502319336e-05,0.005296903662383556,0.9586594738066196
"8,12,15",multislot_headwise_norm,1.0,1.6590137854218483,1.8069768249988556,0.1479630395770073,0.21257403306663036,0.7753179930150509
"8,12,15",multislot_headwise_norm,0.75,1.6590137854218483,1.6999721005558968,0.04095831513404846,0.08758385758846998,0.8495596759021282
"8,12,15",multislot_headwise_norm,0.5,1.6590137854218483,1.6598517894744873,0.0008380040526390076,0.030272823642008007,0.8940802328288555
"8,12,15",multislot_headwise_norm,0.25,1.6590137854218483,1.651838093996048,-0.0071756914258003235,0.00653398665599525,0.9541340470314026
