sample_id,patch_layers,suffix_start,alpha,context_tokens,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,reference_continuation_ce,suffix_continuation_ce,reference_text,suffix_text
0,8,9,1.0,512,16,0,0,0,0.3125,0.3125,0.2395170032978058,2.616219997406006,\n0.00|玩家基础信息|玩家5520|657, of the game\n0.00\n0.00\n0.00\n
0,8,13,1.0,512,16,0,0,0,0.0,0.0,0.2395170032978058,3.7737298011779785,\n0.00|玩家基础信息|玩家5520|657," of the year 2019, the company has been recognized as one of the"
0,8,9,0.5,512,16,0,0,0,0.5,0.4375,0.2395170032978058,2.0976438522338867,\n0.00|玩家基础信息|玩家5520|657, of the game\n0.00|0.00|0.00|
0,8,13,0.5,512,16,0,0,0,0.0,0.0,0.2395170032978058,3.7737298011779785,\n0.00|玩家基础信息|玩家5520|657," of the year 2019, the company has been recognized as one of the"
1,8,9,1.0,512,16,0,0,0,0.4375,0.4375,0.23678438365459442,2.3019750118255615,\n0.00|玩家基础信息|玩家5520|657, of 0.01\n0.00|0.00|0.
1,8,13,1.0,512,16,0,0,0,0.0,0.0,0.23678438365459442,3.8741939067840576,\n0.00|玩家基础信息|玩家5520|657, of the 2nd degree of the polynomial $x^2 + 2
1,8,9,0.5,512,16,0,0,0,0.4375,0.4375,0.23678438365459442,2.3019750118255615,\n0.00|玩家基础信息|玩家5520|657, of 0.01\n0.00|0.00|0.
1,8,13,0.5,512,16,0,0,0,0.0,0.0,0.23678438365459442,3.8741939067840576,\n0.00|玩家基础信息|玩家5520|657, of the 2nd degree of the polynomial $x^2 + 2
2,8,9,1.0,512,16,0,0,0,0.3125,0.3125,0.24764615297317505,2.5866799354553223,\n0.00|玩家基础信息|玩家5520|667, of the game\n0.00\n0.00\n0.00\n
2,8,13,1.0,512,16,0,0,0,0.0,0.0,0.24764615297317505,3.7587928771972656,\n0.00|玩家基础信息|玩家5520|667," of the year 2019, the company has been recognized as one of the"
2,8,9,0.5,512,16,0,0,0,0.5,0.4375,0.24764615297317505,2.0709896087646484,\n0.00|玩家基础信息|玩家5520|667, of the game\n0.00|0.00|0.00|
