sample_id,split,num_train,num_eval,suffix_start,layers,patch_source,alpha,context_tokens,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,full_continuation_ce,boot_continuation_ce,full_text,boot_text
0,eval,8,8,8,"8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,1.1971471309661865,.00|游戏开始|9821,.00|游戏开始|0|
0,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.962139904499054,.00|游戏开始|9821,.00|游戏开始|0.
1,eval,8,8,8,"8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,1.1971471309661865,.00|游戏开始|9821,.00|游戏开始|0|
1,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.962139904499054,.00|游戏开始|9821,.00|游戏开始|0.
2,eval,8,8,8,"8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
2,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,1.1971471309661865,.00|游戏开始|9821,.00|游戏开始|0|
2,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.962139904499054,.00|游戏开始|9821,.00|游戏开始|0.
3,eval,8,8,8,"8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
3,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,1.1971471309661865,.00|游戏开始|9821,.00|游戏开始|0|
3,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.962139904499054,.00|游戏开始|9821,.00|游戏开始|0.
4,eval,8,8,8,"8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
4,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,1.1971471309661865,.00|游戏开始|9821,.00|游戏开始|0|
4,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.962139904499054,.00|游戏开始|9821,.00|游戏开始|0.
5,eval,8,8,8,"8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
5,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,1.1971471309661865,.00|游戏开始|9821,.00|游戏开始|0|
5,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.962139904499054,.00|游戏开始|9821,.00|游戏开始|0.
6,eval,8,8,8,"8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.8225672245025635,0.8225672245025635,游戏开始|6286|3|,游戏开始|6286|3|
6,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,1.0,128,8,0,0,0,0.5,0.375,0.8225672245025635,2.416264772415161,游戏开始|6286|3|,0|游戏结束|0|0
6,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.8225672245025635,0.8225672245025635,游戏开始|6286|3|,游戏开始|6286|3|
7,eval,8,8,8,"8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.8225672245025635,0.8225672245025635,游戏开始|6286|3|,游戏开始|6286|3|
7,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,1.0,128,8,0,0,0,0.5,0.375,0.8225672245025635,2.416264772415161,游戏开始|6286|3|,0|游戏结束|0|0
7,eval,8,8,8,"8,9,10,11,12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.8225672245025635,0.8225672245025635,游戏开始|6286|3|,游戏开始|6286|3|
0,eval,8,8,12,"12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
