sample_id,layers,patch_source,alpha,context_tokens,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,full_continuation_ce,boot_continuation_ce,full_text,boot_text
0,"4,8",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
0,"4,8",translated,1.0,128,8,1,0,6,0.75,0.75,0.5758821964263916,0.6088318228721619,0|游戏开始|999,0|游戏开始|967
0,"4,8",translated,0.5,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
1,"4,8",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
1,"4,8",translated,1.0,128,8,1,0,6,0.75,0.75,0.5758821964263916,0.6088318228721619,0|游戏开始|999,0|游戏开始|967
1,"4,8",translated,0.5,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
2,"4,8",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
2,"4,8",translated,1.0,128,8,1,0,6,0.75,0.75,0.5758821964263916,0.6088318228721619,0|游戏开始|999,0|游戏开始|967
2,"4,8",translated,0.5,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
0,"8,12",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
0,"8,12",translated,1.0,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.741716206073761,0|游戏开始|999,0|游戏开始|045
0,"8,12",translated,0.5,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.6390138864517212,0|游戏开始|999,0|游戏开始|000
1,"8,12",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
1,"8,12",translated,1.0,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.741716206073761,0|游戏开始|999,0|游戏开始|045
1,"8,12",translated,0.5,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.6390138864517212,0|游戏开始|999,0|游戏开始|000
2,"8,12",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
2,"8,12",translated,1.0,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.741716206073761,0|游戏开始|999,0|游戏开始|045
2,"8,12",translated,0.5,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.6390138864517212,0|游戏开始|999,0|游戏开始|000
0,"12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
0,"12,15",translated,1.0,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.7763903141021729,0|游戏开始|999,0|游戏开始|720
0,"12,15",translated,0.5,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.6390138864517212,0|游戏开始|999,0|游戏开始|000
1,"12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
1,"12,15",translated,1.0,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.7763903141021729,0|游戏开始|999,0|游戏开始|720
1,"12,15",translated,0.5,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.6390138864517212,0|游戏开始|999,0|游戏开始|000
2,"12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
2,"12,15",translated,1.0,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.7763903141021729,0|游戏开始|999,0|游戏开始|720
2,"12,15",translated,0.5,128,8,1,0,5,0.625,0.625,0.5758821964263916,0.6390138864517212,0|游戏开始|999,0|游戏开始|000
0,"4,8,12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
0,"4,8,12,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.5758821964263916,0.623258113861084,0|游戏开始|999,0|游戏开始|930
0,"4,8,12,15",translated,0.5,128,8,1,0,5,0.75,0.75,0.5758821964263916,0.737983763217926,0|游戏开始|999,0|游戏开始|789
1,"4,8,12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
1,"4,8,12,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.5758821964263916,0.623258113861084,0|游戏开始|999,0|游戏开始|930
1,"4,8,12,15",translated,0.5,128,8,1,0,5,0.75,0.75,0.5758821964263916,0.737983763217926,0|游戏开始|999,0|游戏开始|789
2,"4,8,12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.5758821964263916,0.5758821964263916,0|游戏开始|999,0|游戏开始|999
2,"4,8,12,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.5758821964263916,0.623258113861084,0|游戏开始|999,0|游戏开始|930
2,"4,8,12,15",translated,0.5,128,8,1,0,5,0.75,0.75,0.5758821964263916,0.737983763217926,0|游戏开始|999,0|游戏开始|789
