sample_id,layers,patch_source,alpha,context_tokens,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,full_continuation_ce,boot_continuation_ce,full_text,boot_text
0,"4,8",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"4,8",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.9322603940963745,.00|游戏开始|9821,.00|游戏开始|3874
0,"4,8",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.99817955493927,.00|游戏开始|9821,.00|游戏开始|0000
1,"4,8",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"4,8",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.9322603940963745,.00|游戏开始|9821,.00|游戏开始|3874
1,"4,8",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.99817955493927,.00|游戏开始|9821,.00|游戏开始|0000
2,"4,8",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
2,"4,8",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.9322603940963745,.00|游戏开始|9821,.00|游戏开始|3874
2,"4,8",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.99817955493927,.00|游戏开始|9821,.00|游戏开始|0000
0,"8,12",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"8,12",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.8780984878540039,.00|游戏开始|9821,.00|游戏开始|9302
0,"8,12",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"8,12",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"8,12",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.8780984878540039,.00|游戏开始|9821,.00|游戏开始|9302
1,"8,12",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
2,"8,12",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
2,"8,12",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.8780984878540039,.00|游戏开始|9821,.00|游戏开始|9302
2,"8,12",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"12,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"12,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"12,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"12,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
2,"12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
2,"12,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
2,"12,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"4,8,12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"4,8,12,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.9392483234405518,.00|游戏开始|9821,.00|游戏开始|5520
0,"4,8,12,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.99817955493927,.00|游戏开始|9821,.00|游戏开始|0000
1,"4,8,12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"4,8,12,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.9392483234405518,.00|游戏开始|9821,.00|游戏开始|5520
1,"4,8,12,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.99817955493927,.00|游戏开始|9821,.00|游戏开始|0000
2,"4,8,12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
2,"4,8,12,15",translated,1.0,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.9392483234405518,.00|游戏开始|9821,.00|游戏开始|5520
2,"4,8,12,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.99817955493927,.00|游戏开始|9821,.00|游戏开始|0000
