sample_id,layers,patch_source,alpha,context_tokens,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,full_continuation_ce,boot_continuation_ce,full_text,boot_text
0,"4,8",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
0,"4,8",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
0,"4,8",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"4,8",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"4,8",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"4,8",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"4,8",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"4,8",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"4,8",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
0,"8,12",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
0,"8,12",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
0,"8,12",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"8,12",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"8,12",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"8,12",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"8,12",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"8,12",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"8,12",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
0,"12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
0,"12,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
0,"12,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"12,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"12,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"12,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"12,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
0,"4,8,12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
0,"4,8,12,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
0,"4,8,12,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"4,8,12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"4,8,12,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
1,"4,8,12,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"4,8,12,15",none,0.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"4,8,12,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
2,"4,8,12,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.48744481801986694,0.48744481801986694,00|游戏开始|96,00|游戏开始|96
