sender,receiver,layers,patch_source,alpha,n,first_token_match,exact_match,token_f1,sequence_similarity
qwen06,qwen06,"12,15",none,0.0,1,1.0,1.0,1.0,1.0
qwen06,qwen06,"12,15",translated,1.0,1,1.0,0.0,0.75,0.75
qwen06,qwen06,"12,15",translated,0.5,1,1.0,0.0,0.75,0.75
qwen06,qwen06,"8,12,15",none,0.0,1,1.0,1.0,1.0,1.0
qwen06,qwen06,"8,12,15",translated,1.0,1,1.0,0.0,0.75,0.75
qwen06,qwen06,"8,12,15",translated,0.5,1,1.0,0.0,0.625,0.625
qwen06,llama1b,"12,15",none,0.0,1,1.0,1.0,1.0,1.0
qwen06,llama1b,"12,15",translated,1.0,1,1.0,1.0,1.0,1.0
qwen06,llama1b,"12,15",translated,0.5,1,1.0,1.0,1.0,1.0
qwen06,llama1b,"8,12,15",none,0.0,1,1.0,1.0,1.0,1.0
qwen06,llama1b,"8,12,15",translated,1.0,1,1.0,0.0,0.75,0.75
qwen06,llama1b,"8,12,15",translated,0.5,1,1.0,1.0,1.0,1.0
qwen06,gemma2b,"12,15",none,0.0,1,1.0,1.0,1.0,1.0
qwen06,gemma2b,"12,15",translated,1.0,1,1.0,1.0,1.0,1.0
qwen06,gemma2b,"12,15",translated,0.5,1,1.0,1.0,1.0,1.0
qwen06,gemma2b,"8,12,15",none,0.0,1,1.0,1.0,1.0,1.0
qwen06,gemma2b,"8,12,15",translated,1.0,1,1.0,1.0,1.0,1.0
qwen06,gemma2b,"8,12,15",translated,0.5,1,1.0,1.0,1.0,1.0
llama1b,qwen06,"12,15",none,0.0,1,1.0,1.0,1.0,1.0
llama1b,qwen06,"12,15",translated,1.0,1,1.0,0.0,0.75,0.75
llama1b,qwen06,"12,15",translated,0.5,1,1.0,1.0,1.0,1.0
llama1b,qwen06,"8,12,15",none,0.0,1,1.0,1.0,1.0,1.0
llama1b,qwen06,"8,12,15",translated,1.0,1,1.0,0.0,0.75,0.75
llama1b,qwen06,"8,12,15",translated,0.5,1,1.0,0.0,0.75,0.75
llama1b,llama1b,"12,15",none,0.0,1,1.0,1.0,1.0,1.0
llama1b,llama1b,"12,15",translated,1.0,1,1.0,1.0,1.0,1.0
llama1b,llama1b,"12,15",translated,0.5,1,1.0,1.0,1.0,1.0
llama1b,llama1b,"8,12,15",none,0.0,1,1.0,1.0,1.0,1.0
llama1b,llama1b,"8,12,15",translated,1.0,1,1.0,0.0,0.75,0.75
llama1b,llama1b,"8,12,15",translated,0.5,1,1.0,1.0,1.0,1.0
llama1b,gemma2b,"12,15",none,0.0,1,1.0,1.0,1.0,1.0
llama1b,gemma2b,"12,15",translated,1.0,1,1.0,1.0,1.0,1.0
llama1b,gemma2b,"12,15",translated,0.5,1,1.0,1.0,1.0,1.0
llama1b,gemma2b,"8,12,15",none,0.0,1,1.0,1.0,1.0,1.0
llama1b,gemma2b,"8,12,15",translated,1.0,1,1.0,1.0,1.0,1.0
llama1b,gemma2b,"8,12,15",translated,0.5,1,1.0,1.0,1.0,1.0
gemma2b,qwen06,"12,15",none,0.0,1,1.0,1.0,1.0,1.0
gemma2b,qwen06,"12,15",translated,1.0,1,1.0,0.0,0.625,0.625
gemma2b,qwen06,"12,15",translated,0.5,1,1.0,1.0,1.0,1.0
gemma2b,qwen06,"8,12,15",none,0.0,1,1.0,1.0,1.0,1.0
gemma2b,qwen06,"8,12,15",translated,1.0,1,1.0,0.0,0.75,0.75
gemma2b,qwen06,"8,12,15",translated,0.5,1,1.0,0.0,0.625,0.625
gemma2b,llama1b,"12,15",none,0.0,1,1.0,1.0,1.0,1.0
gemma2b,llama1b,"12,15",translated,1.0,1,1.0,1.0,1.0,1.0
gemma2b,llama1b,"12,15",translated,0.5,1,1.0,1.0,1.0,1.0
gemma2b,llama1b,"8,12,15",none,0.0,1,1.0,1.0,1.0,1.0
gemma2b,llama1b,"8,12,15",translated,1.0,1,1.0,0.0,0.75,0.75
gemma2b,llama1b,"8,12,15",translated,0.5,1,1.0,1.0,1.0,1.0
gemma2b,gemma2b,"12,15",none,0.0,1,1.0,1.0,1.0,1.0
gemma2b,gemma2b,"12,15",translated,1.0,1,1.0,1.0,1.0,1.0
gemma2b,gemma2b,"12,15",translated,0.5,1,1.0,1.0,1.0,1.0
gemma2b,gemma2b,"8,12,15",none,0.0,1,1.0,1.0,1.0,1.0
gemma2b,gemma2b,"8,12,15",translated,1.0,1,1.0,1.0,1.0,1.0
gemma2b,gemma2b,"8,12,15",translated,0.5,1,1.0,1.0,1.0,1.0
